count_id,count_date,location_name,latitude,longitude,leg_type,active_approaches,missing_approaches,north_present,east_present,south_present,west_present,intervals_in_count,total_vehicle_day,total_pedestrian_day,total_bike_day,avg_vehicle_per_15min,peak_hour_start,peak_hour_vehicle,north_vehicle_day,east_vehicle_day,south_vehicle_day,west_vehicle_day,left_turn_vehicle_day,through_vehicle_day,right_turn_vehicle_day
108077,2023-12-12,Harbord St / Markham St,43.6612650024445,-79.4109766688291,4_leg,"N,E,S,W",,1,1,1,1,56,10645,1797,1399,190.089,2023-12-12 18:00,1038,140,4800,1,5704,375,9815,455
108088,2023-11-14,Palmerston Blvd / Lennox St,43.6633289120658,-79.413130673052,4_leg,"N,E,S,W",,1,1,1,1,56,957,1598,1055,17.089,2023-11-14 08:00,104,30,177,290,460,123,567,267
108078,2023-12-12,Palmerston Blvd / Harbord St,43.6610204984519,-79.4121980578578,4_leg,"N,E,S,W",,1,1,1,1,56,10660,2479,1832,190.357,2023-12-12 18:00,1018,238,4543,366,5513,369,10051,240
108962,2024-02-07,Esther Shiner Blvd / Provost Dr,43.7683403219421,-79.3704799783771,4_leg,"N,E,S,W",,1,1,1,1,56,11631,1567,19,207.696,2024-02-07 17:00,1127,3272,3286,1725,3348,3021,5271,3339
108969,2024-02-13,Athletic Ave / Greenwood Ave,43.6694504161369,-79.3274084260823,3_leg,"N,E,S",W,1,1,1,0,56,6680,446,169,119.286,2024-02-13 17:00,645,3293,114,3273,0,105,6449,126
108973,2024-03-26,Bloor St W / Eagle Rd,43.6454345998083,-79.5200596910603,3_leg,"E,S,W",N,0,1,1,1,56,18224,457,73,325.429,2024-03-26 08:00,1557,0,9748,183,8293,218,17636,370
108968,2024-02-28,Ellesmere Rd / Orton Park Rd / Military Trl / Hydro Corridor,43.7797525911282,-79.2171425869619,4_leg,"N,E,S,W",,1,1,1,1,56,22728,918,23,405.857,2024-02-28 08:00,2155,719,10067,3207,8735,3552,15923,3253
108974,2024-03-26,Bloor St W / Monkton Ave,43.6449249686704,-79.5222979126908,3_leg,"E,S,W",N,0,1,1,1,56,19207,1131,56,342.982,2024-03-26 17:00,1660,0,9662,540,9005,477,17953,777
108975,2024-03-26,Bloor St W / Clissold Rd,43.6444068415677,-79.524535250139,4_leg,"N,E,S,W",,1,1,1,1,56,17812,3205,58,318.071,2024-03-26 08:00,1657,295,8407,296,8814,401,16809,602
108981,2024-03-20,Lawson Rd / Wichey Rd,43.7890006225704,-79.1438417700171,3_leg,"E,S,W",N,0,1,1,1,56,5489,113,2,98.018,2024-03-20 08:00,588,0,2282,443,2764,329,4722,438
108978,2024-02-13,Finch Ave E / Longmore St,43.7822033384298,-79.4044745051007,4_leg,"N,E,S,W",,1,1,1,1,56,25342,327,9,452.536,2024-02-13 08:00,2485,77,12725,135,12405,153,24852,337
108979,2024-02-13,Queensbury Ave / Clonmore Dr,43.6906693157822,-79.2765624673706,3_leg,"E,S,W",N,0,1,1,1,56,14932,281,34,266.643,2024-02-13 16:00,1599,0,7418,323,7191,305,14284,343
108985,2024-03-05,Shorting Rd / Nugget Ave,43.7963991601087,-79.250940873383,4_leg,"N,E,S,W",,1,1,1,1,56,10051,80,17,179.482,2024-03-05 08:00,1021,36,4972,1683,3360,1561,6708,1782
108997,2024-02-28,Bloor St W / Bedford Rd,43.668033224743,-79.3973807918684,3_leg,"N,E,W",S,1,1,0,1,56,14727,12738,1796,262.982,2024-02-28 17:00,1230,1022,6795,0,6910,1400,11666,1661
109000,2024-02-28,Avenue Rd / Macpherson Ave (North),43.6781641370938,-79.3979969613295,3_leg,"N,S,W",E,1,0,1,1,56,28997,328,112,517.804,2024-02-28 17:00,2557,15043,0,13938,16,253,28619,125
108998,2024-03-07,Davenport Rd / Bedford Rd,43.6743747377491,-79.399843115829,4_leg,"N,E,S,W",,1,1,1,1,56,23757,3097,862,424.232,2024-03-07 17:00,1981,1279,9804,3240,9434,3071,17760,2926
110636,2024-10-23,King Georges Rd / Grenview Blvd N (East),43.6504587701712,-79.5087305049052,4_leg,"N,E,S,W",,1,1,1,1,56,3243,426,83,57.911,2024-10-23 15:00,354,250,1409,501,1083,564,2217,462
110621,2024-10-23,Morningside Ave / Windermere Ave,43.6449289201044,-79.478309424682,4_leg,"N,E,S,W",,1,1,1,1,56,10156,1646,220,181.357,2024-10-23 17:00,1038,3530,1531,3010,2085,1293,7387,1476
110622,2024-10-23,Morningside Ave / South Kingsway,43.6440862988228,-79.4819140327174,4_leg,"N,E,S,W",,1,1,1,1,56,15739,573,93,281.054,2024-10-23 08:00,1514,5410,1248,9021,60,1209,12304,2226
111259,2024-10-24,Allen Rd / Transit Rd / William R Allen Rd / Wilson Hs S Allen Rd Ramp,43.7418246574589,-79.4543107234713,4_leg,"N,E,S,W",,1,1,1,1,56,60961,0,4,1088.589,2024-10-24 08:00,4841,30014,9262,18407,3278,10976,45875,4110
111257,2024-10-24,Wilson Ave / Transit Rd / Billy Bishop Way,43.7333831006134,-79.4528633906014,4_leg,"N,E,S,W",,1,1,1,1,56,36650,2156,153,654.464,2024-10-24 16:00,3170,6369,12360,8443,9478,8202,19799,8649
111256,2024-10-24,Wilson Ave / Dufferin St,43.7320915545464,-79.4588912664704,4_leg,"N,E,S,W",,1,1,1,1,56,30510,3428,113,544.821,2024-10-24 16:00,2637,2943,11068,5612,10887,7949,16802,5759
111258,2024-10-24,Wilson Ave / Tippett Rd / Wilson Heights Blvd,43.7345893242007,-79.447231148554,4_leg,"N,E,S,W",,1,1,1,1,56,31429,3499,148,561.232,2024-10-24 17:00,2801,5026,11221,3373,11809,7412,18429,5588
111255,2024-10-24,Wilson Ave / Keele St,43.7266423862854,-79.4820697367177,4_leg,"N,E,S,W",,1,1,1,1,56,55234,10678,200,986.321,2024-10-24 16:00,4547,15237,11595,16374,12028,8510,37672,9052
