count_id,count_date,location_name,latitude,longitude,leg_type,active_approaches,missing_approaches,north_present,east_present,south_present,west_present,total_vehicle_day_raw_derived,total_pedestrian_day_raw_derived,total_bike_day_raw_derived,summary_total_vehicle,summary_total_pedestrian,summary_total_bike,summary_count_duration_hr,summary_am_peak_start,summary_am_peak_vehicle,summary_pm_peak_start,summary_pm_peak_vehicle,is_most_recent_for_location
113535,2025-10-02,Brimwood Blvd / East Highland Creek Trl,43.8119381774409,-79.2778676269263,3_leg,"N,E,W",S,1,1,0,1,3581,813,197,3581,813,197,14,2025-10-02T08:15:00,433,2025-10-02T16:30:00,358,1
114054,2025-09-30,Mayfield Ave / Armadale Ave (North),43.6481439033803,-79.4822837063111,4_leg,"N,E,S,W",,1,1,1,1,2198,597,76,2198,597,76,14,2025-09-30T08:15:00,192,2025-09-30T17:00:00,289,1
113794,2025-09-30,Claireville Dr / Humberline Dr (South),43.7381243836022,-79.6183440456439,4_leg,"N,E,S,W",,1,1,1,1,11767,178,28,11767,178,28,14,2025-09-30T06:30:00,887,2025-09-30T15:30:00,1244,1
114051,2025-09-30,Oakmount Rd / Glenlake Ave,43.6578685628057,-79.4638869535826,4_leg,"N,E,S,W",,1,1,1,1,3626,2188,238,3626,2188,238,14,2025-09-30T08:15:00,339,2025-09-30T17:15:00,400,1
114057,2025-09-30,Sheppard Ave E / Willowdale Ave,43.7639964658246,-79.3996874079406,4_leg,"N,E,S,W",,1,1,1,1,31771,2779,320,31771,2779,320,14,2025-09-30T08:15:00,2582,2025-09-30T16:30:00,2864,0
114058,2025-09-30,Sheppard Ave E / Wilfred Ave,43.7650989540152,-79.394700091774,4_leg,"N,E,S,W",,1,1,1,1,29720,1254,267,29720,1254,267,14,2025-09-30T08:15:00,2560,2025-09-30T16:45:00,2722,0
113796,2025-09-30,Jutland Rd / Goodrich Rd,43.627188264245,-79.5247037007828,3_leg,"N,E,W",S,1,1,0,1,5734,78,46,5734,78,46,14,2025-09-30T08:30:00,474,2025-09-30T15:30:00,581,0
114056,2025-09-30,Sheppard Ave E / Kenneth Ave / Leona Dr,43.7628887346804,-79.4047581714734,4_leg,"N,E,S,W",,1,1,1,1,29626,2979,175,29626,2979,175,14,2025-09-30T08:30:00,2587,2025-09-30T16:15:00,2803,0
113940,2025-09-30,Eglinton Ave E / Laird Dr,43.7135658780878,-79.3648021538861,4_leg,"N,E,S,W",,1,1,1,1,36709,2492,267,36709,2492,267,14,2025-09-30T08:00:00,2912,2025-09-30T17:30:00,3110,1
113823,2025-09-30,Eglinton Ave W / Montcalm Ave,43.693605569216,-79.459678651644,3_leg,"N,E,W",S,1,1,0,1,20606,730,230,20606,730,230,14,2025-09-30T07:45:00,1708,2025-09-30T16:30:00,1998,1
113788,2025-09-30,Kingston Rd / Blantyre Ave (East),43.6814624244391,-79.2813476854686,4_leg,"N,E,S,W",,1,1,1,1,17118,1203,303,17118,1203,303,14,2025-09-30T08:00:00,1461,2025-09-30T16:15:00,1698,1
